,Country,EdLevel,YearsCodePro,Salary
1308,Switzerland,Master’s degree,25.0,132260.0
1309,Germany,Master’s degree,13.0,70679.0
1310,United States of America,Less than a Bachelors,6.0,72500.0
1311,France,Master’s degree,9.0,74963.0
1312,Italy,Master’s degree,6.0,44978.0
1316,United States of America,Bachelor’s degree,5.0,120000.0
1320,United States of America,Master’s degree,30.0,250000.0
1321,Italy,Bachelor’s degree,5.0,21418.0
1322,United States of America,Bachelor’s degree,12.0,139000.0
1325,Germany,Less than a Bachelors,3.0,58899.0
1329,Italy,Master’s degree,7.0,37481.0
1331,Netherlands,Bachelor’s degree,4.0,38167.0
1341,Canada,Master’s degree,16.0,245360.0
1342,Canada,Less than a Bachelors,12.0,118962.0
1344,Germany,Less than a Bachelors,10.0,40480.0
1345,Switzerland,Master’s degree,18.0,121238.0
1348,Germany,Bachelor’s degree,6.0,64254.0
1351,United States of America,Bachelor’s degree,6.0,165000.0
1363,Germany,Bachelor’s degree,7.0,69608.0
1368,United States of America,Bachelor’s degree,39.0,144000.0
1371,United States of America,Bachelor’s degree,27.0,220000.0
1378,United States of America,Bachelor’s degree,9.0,185000.0
1381,Italy,Master’s degree,4.0,42836.0
1384,France,Master’s degree,4.0,53545.0
1387,Netherlands,Master’s degree,25.0,42836.0
1389,Germany,Bachelor’s degree,3.0,51403.0
1390,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,90062.0
1394,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,21.0,62069.0
1395,United States of America,Master’s degree,26.0,246000.0
1398,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,136552.0
1399,Poland,Bachelor’s degree,4.0,71779.0
1405,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,173793.0
1409,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,1.0,39724.0
1413,Netherlands,Master’s degree,3.0,42836.0
1414,Germany,Master’s degree,4.0,64254.0
1418,Italy,Master’s degree,18.0,57828.0
1419,United States of America,Bachelor’s degree,11.0,100000.0
1424,India,Master’s degree,8.0,26657.0
1426,United States of America,Bachelor’s degree,9.0,130000.0
1428,Canada,Bachelor’s degree,4.0,74351.0
